SAT,continuous	Difficulty,discrete(4)	Intelligence,discrete(3)	Grade,discrete(4)	Letter,discrete(3)
800	3	2	4	3
700	3	1	2	3
800	1	2	3	1
800	3	2	4	3
800	3	2	4	3
800	3	2	4	3
700	3	1	2	3
800	1	2	3	1
800	3	2	4	3
600	3	2	4	2
700	3	1	2	3
800	1	2	3	1
800	3	2	4	3
800	3	2	4	3
700	3	1	2	3
800	1	2	3	1
800	3	2	4	3
800	3	2	4	3
700	3	1	2	3
800	1	2	3	1
800	3	2	4	3
800	3	2	4	3
700	3	1	2	3
800	1	2	3	1
800	3	2	4	3
800	3	2	4	3
700	3	1	2	3
800	1	2	3	1
800	3	2	4	3
600	3	2	4	2
600	3	2	4	2
800	3	2	4	3
700	3	1	2	3
800	3	2	1	1
600	3	2	4	2
600	3	2	4	2
800	3	2	4	3
700	3	1	2	3
800	3	2	1	1
800	1	2	3	1
800	3	2	4	3
800	3	2	4	3
700	3	1	2	3
800	1	2	3	1
800	3	2	4	3
800	3	2	4	3
700	3	1	2	3
800	3	2	4	1
800	3	3	3	3
800	3	3	2	3
800	3	3	3	3
800	3	3	4	3
800	3	3	3	2
800	3	3	4	3
800	3	3	2	2
800	3	3	3	2
800	3	3	3	3
800	3	3	3	3
800	3	3	2	2
800	3	3	3	2
800	3	3	4	3
800	3	3	2	2
800	3	3	3	3
800	3	3	2	2
800	3	2	3	3
800	3	2	4	3
800	3	2	2	2
800	3	2	3	3
800	3	2	2	2
800	3	2	3	3
800	3	2	2	1
800	3	2	3	3
800	3	2	4	2
800	3	2	4	3
800	3	2	4	3
